key,value,description,geo_id
0100,"Murder, First Degree (0100)","The intentional, premeditated killing of another person with malice aforethought. Often includes cases involving torture, lying in wait, or felony murder (when a death occurs during the commission of certain felonies like robbery or kidnapping).",
0101,"Murder, Government Officials (0101)","The deliberate and premeditated killing of a government official, such as a judge, law enforcement officer, or elected official, which may carry enhanced penalties under federal or state law.",
0200,"Murder, Second Degree (0200)","The intentional killing of another person without premeditation, but with malice aforethought. Includes impulsive murders or those resulting from extreme recklessness.",
0201,"Murder, 2nd Degree, Government Officials (0201)","The killing of a government official without premeditation but with malice aforethought, often carrying harsher sentencing due to the victim's official status.",
0300,Manslaughter (0300),"The unlawful killing of another person without malice, typically divided into voluntary (a heat-of-passion killing) and involuntary (unintentional but reckless homicide).",
0301,Manslaughter (0301),"The unlawful killing of another person without malice, typically divided into voluntary (a heat-of-passion killing) and involuntary (unintentional but reckless homicide).",
0310,Negligent Homicide (0310),"The unintentional killing of another person due to criminal negligence, such as reckless driving or failure to perform a legal duty.",
0311,"Negligent Homicide, Government Officials (0311)","The negligent killing of a government official, potentially resulting in stricter legal consequences.",
1100,"Robbery, Bank (1100)","The use of force, threats, or intimidation to steal money or valuables from a bank, credit union, or savings institution.",
1200,"Robbery, Postal (1200)","The forcible theft of money or property from a postal facility, mail carrier, or mail truck, often charged under federal law.",
1400,"Robbery, Other (1400)","The use of force or intimidation to commit theft in contexts outside of banks or postal services, such as street muggings or home invasions.",
1500,Aggravated or Felonious (1500),"Likely refers to aggravated robbery or assault, which involves serious bodily harm, the use of a deadly weapon, or an intent to commit a felony.",
1501,"Felony, on Government Official (1501)","Any serious criminal offense committed against a government official, often resulting in enhanced penalties.",
1560,Fair Housing Law (1560),"Violations of the Fair Housing Act, such as discrimination in housing based on race, color, religion, sex, disability, familial status, or national origin.",
1600,"Assault, Other (1600)","A broad category encompassing non-aggravated assaults, such as simple battery, domestic violence, or physical altercations without serious injury.",
1601,"Misdemeanor, on Government Official (1601)","A less severe criminal offense against a government official, such as simple assault, harassment, or obstruction.",
