key,value,description,geo_id
110,Insurance (110),"Disputes involving insurance contracts, claims, or policy coverage.",
120,Marine contract actions (120),Legal disputes related to contracts in maritime commerce or shipping.,
130,Miller act (130),Claims involving contractors and subcontractors under federally funded construction projects.,
140,Negotiable instruments (140),"Cases concerning promissory notes, checks, and other financial instruments.",
150,Overpayments & enforcement of judgments (150),Actions seeking to recover overpaid funds or enforce prior court judgments.,
151,Overpayments under the medicare act (151),Cases involving alleged overpayments under Medicare.,
152,Recovery of defaulted student loans (152),Lawsuits to collect unpaid student loan debts.,
153,Recovery of overpayments of vet benefits (153),Actions seeking to recover excess payments made for veterans' benefits.,
160,Stockholder's suits (160),"Lawsuits brought by shareholders against a company, often for fiduciary breaches.",
190,Other contract actions (190),Contract disputes not covered under specific categories.,
195,Contract product liability (195),Cases where a contract dispute involves defective products.,
196,Contract franchise (196),Disputes arising from franchise agreements between franchisors and franchisees.,
210,Land condemnation (210),Government actions to seize private land for public use (eminent domain).,
220,Foreclosure (220),Legal proceedings where lenders seek to repossess property due to loan default.,
230,"Rent, lease, ejectment (230)","Disputes over rental agreements, evictions, and lease enforcement.",
240,Torts to land (240),"Lawsuits involving trespass, nuisance, or environmental damage to property.",
245,Tort product liability (245),Claims against manufacturers or sellers for defective products causing harm.,
290,Other real property actions (290),Real estate disputes not covered under specific categories.,
310,Airplane personal injury (310),Personal injury claims involving airplane accidents.,
315,Airplane product liability (315),Lawsuits against manufacturers for defective airplane parts.,
320,"Assault, libel, and slander (320)","Cases involving physical attacks, defamation, or false statements harming reputation.",
330,Federal employers' liability (330),Lawsuits under FELA by railroad workers injured on the job.,
340,Marine personal injury (340),Personal injury claims occurring on navigable waters.,
345,Marine - Product liability (345),Lawsuits over defective maritime products causing injury or damage.,
350,Motor vehicle personal injury (350),Personal injury claims resulting from car accidents.,
355,Motor vehicle product liability (355),Claims against automakers for defective vehicles.,
360,Other personal liability (360),General personal injury cases not classified elsewhere.,
362,Medical malpractice (362),Lawsuits against healthcare providers for professional negligence.,
365,Personal injury - Product liability (365),Cases where defective products cause personal injury.,
367,Health care / pharm (367),"Claims involving pharmaceuticals, medical devices, or healthcare practices.",
368,Asbestos personal injury - Prod. Liab. (368),Lawsuits related to asbestos exposure and related illnesses.,
370,Other fraud (370),Fraud-related lawsuits not falling under specific fraud statutes.,
371,Truth in lending (371),Cases involving violations of the Truth in Lending Act.,
375,False Claims Act (375),Lawsuits against entities accused of defrauding the government.,
380,Other personal property damage (380),Property damage claims not related to product liability.,
385,Property damage - Product liability (385),Claims against manufacturers for defective products causing property damage.,
400,State re-appointment (400),Cases concerning legislative redistricting or reappointment.,
410,Antitrust (410),Lawsuits addressing anti-competitive business practices.,
422,Bankruptcy appeals rule 28 USC 158 (422),Appeals arising from bankruptcy court rulings.,
423,Bankruptcy withdrawal 28 USC 157 (423),Motions to withdraw a bankruptcy case from bankruptcy court.,
430,Banks and banking (430),"Disputes involving banks, lending practices, or financial regulations.",
440,Civil rights other (440),Civil rights violations not classified under specific civil rights categories.,
441,Civil rights voting (441),Cases challenging voting rights violations.,
442,Civil rights jobs (442),"Employment discrimination claims based on race, gender, or other protected statuses.",
443,Civil rights accomodations (443),Lawsuits over access to public places or businesses under civil rights laws.,
444,Civil rights welfare (444),Cases involving access to government assistance programs under civil rights laws.,
445,Civil rights ADA employment (445),Workplace discrimination cases under the Americans with Disabilities Act.,
446,Civil rights ADA other (446),Non-employment disability discrimination cases under the ADA.,
448,Education (448),"Lawsuits involving school policies, discrimination, or funding issues.",
450,Interstate commerce (450),Cases concerning business and trade across state lines.,
460,Deportation (460),Lawsuits challenging removal proceedings of non-citizens.,
462,"Naturalization, petition for hearing of denial (462)",Cases where individuals challenge the denial of U.S. citizenship.,
463,Habeas corpus - alien detainee (463),Petitions challenging the detention of non-citizens.,
465,Other immigration actions (465),Immigration-related lawsuits not otherwise categorized.,
470,Civil (RICO) (470),"Lawsuits under the Racketeer Influenced and Corrupt Organizations (RICO) Act, typically involving organized crime, fraud, or illegal business practices.",
480,Consumer credit (480),"Cases involving disputes over credit reporting, lending practices, and consumer financial protections.",
490,Cable/Satellite TV (490),"Legal actions related to cable and satellite television services, including contract disputes and regulatory issues.",
510,Prisoner petitions - vacate sentence (510),Requests by incarcerated individuals to overturn or modify their criminal sentences.,
530,Prisoner petitions - habeas corpus (530),Legal challenges by prisoners asserting unlawful detention or imprisonment.,
535,Habeas corpus Death penalty (535),"Petitions filed by death row inmates challenging the legality of their conviction or sentence, often based on constitutional violations, ineffective counsel, or newly discovered evidence.",
540,Prisoner petitions - mandamus and other (540),Cases where prisoners seek court orders compelling government action or other legal remedies.,
550,Prisoner - civil rights (550),Lawsuits filed by inmates alleging violations of their constitutional rights while incarcerated.,
